roundNum,karbonite,numFactories,numWorkers,numKnights
1,88,0,1,0
2,87,0,2,0
3,87,0,3,0
4,92,0,4,0
5,98,0,5,0
6,105,0,6,0
7,117,0,7,0
8,130,0,8,0
9,145,0,9,0
10,60,0,10,0
11,77,1,11,0
12,92,1,12,0
13,22,1,13,0
14,37,2,13,0
15,55,2,14,0
16,75,2,15,0
17,91,2,16,0
18,7,2,17,0
19,32,3,18,0
20,52,3,18,0
21,70,3,18,0
22,84,3,18,0
23,93,3,18,0
24,1,3,18,0
25,11,4,18,0
26,21,4,18,0
27,11,4,18,0
28,21,4,18,0
29,31,4,18,0
30,41,4,18,0
31,30,4,18,0
32,20,4,18,1
33,30,4,18,1
34,40,4,18,1
35,49,4,18,1
36,38,4,18,2
37,28,4,18,3
38,38,4,18,3
39,48,4,18,3
40,57,4,18,3
41,46,4,18,4
42,35,4,18,5
43,45,4,18,5
44,54,4,18,5
45,63,4,18,5
46,52,4,18,6
47,21,4,18,7
48,31,4,18,7
49,41,4,18,7
50,50,4,18,7
51,24,4,18,8
52,2,4,19,10
53,3,4,20,10
54,5,4,21,10
55,16,4,22,10
56,9,4,23,11
57,10,4,24,12
58,2,4,26,12
59,14,4,27,12
60,6,4,29,12
61,4,4,31,13
62,18,4,34,13
63,11,4,36,14
64,33,4,38,14
65,46,4,38,15
66,77,4,38,15
67,6,4,38,15
68,38,5,38,16
69,21,5,38,17
70,21,5,38,18
71,36,5,38,18
72,52,5,38,18
73,73,5,38,18
74,52,5,38,20
75,48,5,38,21
76,59,5,38,21
77,68,5,38,21
78,77,5,38,21
79,46,5,38,23
80,35,5,38,24
81,45,5,38,24
82,54,5,38,24
83,63,5,38,24
84,32,5,38,26
85,22,5,38,27
86,12,5,38,27
87,22,5,38,27
88,32,5,38,27
89,2,5,38,29
90,12,5,38,30
91,2,5,38,31
92,12,5,38,31
93,2,5,38,31
94,12,5,38,33
95,2,5,38,33
96,12,5,38,34
97,2,5,38,34
98,12,5,38,35
99,2,5,38,35
100,12,5,38,36
101,2,5,38,36
102,12,5,38,37
103,2,5,38,37
104,12,5,38,38
105,2,5,38,38
106,12,5,38,38
107,2,5,38,38
108,12,5,38,39
109,2,5,38,39
110,12,5,38,40
111,2,5,38,40
112,12,5,38,41
113,2,5,38,41
114,12,5,38,42
115,2,5,38,42
116,12,5,38,43
117,2,5,38,43
118,12,5,38,43
119,22,5,38,43
120,32,5,38,43
121,42,5,38,43
122,31,5,38,44
process 12750 terminated with exit code None Terminated
